Date,Product Category,Product Name,Region,Sales Revenue (USD),Units Sold,Customer Segment,Customer Type,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Competitor Influence,Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Product Launch Date,Competitor Product,Market Share (%)
2004-12-21,OEM,Tesla V100,North America,507082.7,2532,Gamers,Business,3.5,118336.65,0.0,High,4.92,24.0,0.21,50.0,2003-01-14,Intel Xeon,34.53
2000-07-21,Gaming,RTX 3080,North America,1610317.63,4102,Gamers,Individual,2.2,148871.07,18.0,Low,2.12,74.0,0.06,61.0,2005-09-05,AMD Radeon RX 6800,51.18
2023-08-30,Gaming,RTX 3080,APAC,1738634.24,4676,Educational Institutions,Business,2.9,174580.66,9.0,Low,2.39,52.0,0.09,86.0,2006-02-28,AMD Radeon RX 6800,67.03
2006-10-23,Gaming,Quadro P2200,Middle East,865184.78,837,Educational Institutions,Individual,2.6,192323.41,9.0,Medium,3.96,51.0,0.26,79.0,2010-07-05,AMD Radeon RX 6800,33.85
1993-07-30,AI,Tesla V100,Middle East,1473639.1,4157,Educational Institutions,Individual,4.6,69265.87,22.0,Medium,1.42,22.0,0.28,85.0,2004-08-16,AMD Radeon RX 7900,53.76
2012-09-13,Data Center,RTX 3080,Middle East,1382168.63,3661,AI Researchers,Individual,4.3,187638.57,21.0,Medium,2.09,42.0,0.09,63.0,1998-07-06,Google TPU,39.83
2022-05-05,Data Center,Tesla T4,Africa,1993153.62,3530,AI Researchers,Individual,2.0,198687.86,5.0,Medium,3.02,57.0,0.27,55.0,1999-08-14,AMD Radeon RX 7900,41.58
2011-09-21,Gaming,Tesla V100,North America,351298.42,4389,Gamers,Individual,4.7,159495.4,14.0,High,3.27,27.0,0.27,82.0,2020-11-20,AMD Radeon RX 7900,36.19
2014-11-21,Gaming,Tesla V100,APAC,234024.58,3788,Gamers,Individual,3.6,135450.65,19.0,Medium,2.27,88.0,0.11,56.0,2011-03-27,AMD Radeon RX 7900,46.95
2009-12-16,OEM,RTX 3080,Middle East,788022.44,2937,Educational Institutions,Individual,2.5,36487.42,13.0,Low,2.18,21.0,0.24,62.0,2009-11-14,AMD Radeon RX 7900,57.83
1996-07-24,Data Center,RTX 3080,Europe,1025034.45,1236,AI Researchers,Business,1.7,186607.91,21.0,Low,4.5,89.0,0.25,90.0,2007-10-10,Google TPU,40.72
2007-12-18,OEM,Quadro P2200,North America,671248.44,2767,Cloud Providers,Individual,3.5,147000.46,14.0,High,0.77,78.0,0.27,64.0,2007-06-04,AMD Radeon RX 6800,44.05
2008-01-10,OEM,RTX 4090,Africa,1608610.29,4683,Educational Institutions,Individual,3.2,187518.77,2.0,Low,3.0,70.0,0.12,56.0,2004-10-28,AMD Radeon RX 7900,60.3
2019-08-31,Data Center,RTX 3080,APAC,1561915.78,4412,Cloud Providers,Individual,1.2,127243.35,6.0,Low,0.72,47.0,0.29,64.0,2016-03-19,AMD Radeon RX 7900,42.68
1999-04-12,Gaming,Quadro P2200,Europe,1571266.92,3813,AI Researchers,Business,1.8,92087.5,11.0,Medium,1.38,16.0,0.22,89.0,2013-08-20,AMD Radeon RX 6800,41.63
2021-09-17,Gaming,Quadro P2200,Middle East,576707.16,2728,Gamers,Business,4.1,13493.43,14.0,Medium,3.27,83.0,0.15,58.0,1995-05-06,Intel Xeon,61.77
2004-10-31,AI,RTX 4090,North America,306790.41,494,Cloud Providers,Business,1.4,179856.0,12.0,High,2.16,71.0,0.28,50.0,2010-03-21,AMD Radeon RX 7900,67.66
1993-08-08,AI,RTX 4090,South America,1558363.25,780,Educational Institutions,Individual,3.1,107699.76,7.0,High,1.75,10.0,0.06,51.0,2008-03-11,Intel Xeon,55.18
2009-02-08,Data Center,Tesla T4,Middle East,670235.5,4546,Cloud Providers,Business,4.6,121908.72,1.0,Medium,4.36,20.0,0.24,77.0,1998-12-27,AMD Radeon RX 7900,54.16
2023-12-20,Data Center,Quadro P2200,Europe,604177.54,626,Gamers,Individual,1.7,156093.23,13.0,High,0.65,24.0,0.09,77.0,2008-03-27,AMD Radeon RX 6800,58.12
2024-03-18,Gaming,Quadro P2200,South America,998528.27,2693,Cloud Providers,Business,3.8,147776.35,8.0,Low,0.99,52.0,0.1,78.0,2010-06-09,AMD Radeon RX 7900,51.34
2022-12-24,Data Center,Quadro P2200,Africa,1477587.87,3840,AI Researchers,Business,3.0,109066.51,20.0,High,1.23,43.0,0.23,85.0,2013-09-21,Intel Xeon,47.23
1998-08-07,OEM,RTX 4090,Middle East,461346.34,3664,Educational Institutions,Individual,3.0,181403.95,22.0,Low,2.64,62.0,0.12,79.0,1995-12-17,Intel Xeon,54.82
1998-06-10,AI,Tesla V100,Middle East,1216833.74,3589,AI Researchers,Individual,3.6,195539.1,12.0,Medium,0.44,39.0,0.17,57.0,2024-07-16,Intel Xeon,32.1
2016-04-16,Gaming,Tesla V100,South America,1776019.9,634,Cloud Providers,Business,4.2,30098.17,22.0,High,2.19,65.0,0.19,78.0,2001-07-17,AMD Radeon RX 7900,59.6
1996-09-28,Gaming,Tesla T4,South America,1365412.06,4061,Cloud Providers,Business,1.1,72965.51,2.0,Low,3.71,64.0,0.26,51.0,1996-07-19,Google TPU,47.05
1996-03-10,OEM,Tesla T4,South America,293824.45,773,Cloud Providers,Individual,4.6,196714.54,10.0,High,2.61,61.0,0.16,88.0,1994-05-31,AMD Radeon RX 6800,48.89
1994-06-03,OEM,RTX 3080,Middle East,1545023.67,4587,Gamers,Individual,3.3,130046.35,20.0,Medium,1.3,13.0,0.06,86.0,2012-10-27,AMD Radeon RX 7900,31.28
1993-10-06,Data Center,RTX 4090,South America,1299519.32,1788,AI Researchers,Business,2.7,12586.89,20.0,Medium,0.91,12.0,0.08,64.0,2000-06-11,AMD Radeon RX 6800,52.69
2017-04-01,Data Center,RTX 4090,Middle East,1683920.64,4620,Educational Institutions,Business,3.3,103250.47,11.0,High,1.57,60.0,0.09,90.0,2003-08-29,AMD Radeon RX 6800,62.65
2016-10-29,AI,RTX 3080,Europe,1868044.87,2847,AI Researchers,Individual,1.4,122855.82,7.0,Low,1.53,65.0,0.09,56.0,1994-03-31,Google TPU,46.89
2006-02-28,OEM,Tesla T4,North America,54772.65,4118,Gamers,Individual,4.0,76965.21,2.0,Low,0.36,62.0,0.08,56.0,2019-02-25,AMD Radeon RX 7900,53.41
2009-09-13,Gaming,Tesla T4,Europe,1991569.22,246,Cloud Providers,Individual,2.7,123689.03,5.0,Medium,0.62,50.0,0.14,50.0,2024-02-22,Intel Xeon,63.71
1999-08-10,OEM,Quadro P2200,North America,222117.49,793,Gamers,Individual,1.5,140588.33,15.0,Low,4.77,67.0,0.09,55.0,2022-01-15,AMD Radeon RX 6800,58.24
2000-01-10,OEM,Tesla V100,Europe,1390847.84,1434,AI Researchers,Individual,2.1,150768.21,25.0,High,0.87,88.0,0.23,88.0,2007-09-13,AMD Radeon RX 7900,60.83
2019-12-31,Gaming,RTX 4090,Middle East,1362314.29,4597,Educational Institutions,Individual,3.8,130674.35,25.0,Medium,0.49,53.0,0.06,78.0,2004-09-17,AMD Radeon RX 7900,44.62
2023-05-20,Data Center,Tesla V100,North America,1548913.91,3224,Educational Institutions,Individual,2.8,83366.79,22.0,Low,3.19,31.0,0.14,51.0,1994-07-25,AMD Radeon RX 6800,48.24
1997-07-05,Gaming,RTX 4090,Africa,1782223.9,2529,Educational Institutions,Business,2.1,190178.1,1.0,High,1.7,40.0,0.22,53.0,1998-11-03,AMD Radeon RX 6800,38.34
2015-02-22,AI,RTX 3080,North America,885706.18,215,Educational Institutions,Individual,1.1,172046.06,8.0,Low,4.64,36.0,0.1,58.0,2005-04-19,AMD Radeon RX 6800,39.78
2015-02-05,AI,Tesla V100,North America,330462.94,3572,AI Researchers,Individual,1.8,147061.99,5.0,Medium,2.0,49.0,0.18,64.0,2018-07-20,AMD Radeon RX 6800,33.2
2012-12-10,OEM,RTX 4090,South America,960513.65,2665,Cloud Providers,Individual,3.0,101715.88,7.0,Low,2.5,42.0,0.18,62.0,1999-12-05,Intel Xeon,66.32
2000-02-20,Gaming,Tesla V100,South America,1586568.25,3440,Educational Institutions,Business,1.4,175161.81,21.0,Medium,0.93,68.0,0.06,82.0,2008-01-16,AMD Radeon RX 6800,52.93
2019-05-31,OEM,RTX 4090,Middle East,1735271.89,3858,AI Researchers,Business,1.2,119096.27,16.0,Low,2.5,17.0,0.09,62.0,2006-06-30,Google TPU,31.42
2023-11-07,Gaming,RTX 3080,South America,613547.29,3890,AI Researchers,Business,2.2,159817.49,5.0,High,2.54,26.0,0.23,65.0,2015-05-30,Google TPU,60.31
2017-03-04,Gaming,RTX 3080,APAC,1738506.81,3482,Educational Institutions,Business,4.8,52353.09,5.0,Low,1.81,62.0,0.13,55.0,2011-03-31,AMD Radeon RX 6800,52.39
2020-07-07,Gaming,Quadro P2200,North America,1142728.56,3802,AI Researchers,Business,4.6,43627.23,14.0,Medium,3.24,36.0,0.24,87.0,2002-12-01,AMD Radeon RX 7900,31.53
2002-09-12,AI,Tesla V100,Africa,1202966.48,2774,Educational Institutions,Individual,1.1,62236.72,22.0,Low,2.04,31.0,0.11,59.0,2011-03-17,AMD Radeon RX 6800,47.97
2004-06-06,AI,Tesla T4,South America,1142184.66,2586,Cloud Providers,Individual,3.5,198181.52,14.0,Low,1.7,86.0,0.07,51.0,2007-11-27,Intel Xeon,52.69
2019-12-02,AI,Tesla V100,Europe,1104681.91,3875,Cloud Providers,Business,2.0,75449.47,15.0,Medium,1.0,19.0,0.25,52.0,2008-10-17,Google TPU,52.07
1995-02-20,AI,Tesla V100,Africa,1789610.77,2500,Educational Institutions,Business,2.9,98257.95,21.0,High,4.38,56.0,0.05,67.0,2001-07-26,AMD Radeon RX 7900,49.01
1999-12-09,AI,Tesla V100,APAC,1283290.41,310,AI Researchers,Individual,4.5,42704.92,3.0,Low,2.62,63.0,0.2,90.0,1999-08-27,Google TPU,49.33
2011-01-10,AI,RTX 4090,Europe,532211.55,3808,Cloud Providers,Individual,4.0,185834.25,12.0,Low,4.27,12.0,0.17,58.0,2020-06-27,Google TPU,51.36
2008-08-13,OEM,RTX 3080,North America,1676007.47,1856,Cloud Providers,Individual,1.4,197507.3,25.0,High,0.13,25.0,0.21,90.0,1997-07-12,Intel Xeon,67.29
2011-03-10,AI,Tesla V100,Europe,1906247.51,361,Gamers,Business,1.8,99930.12,18.0,Medium,3.11,77.0,0.19,73.0,2008-04-17,AMD Radeon RX 6800,39.92
2007-08-06,OEM,RTX 4090,Middle East,1564978.48,3794,AI Researchers,Individual,3.4,124271.09,19.0,High,2.21,31.0,0.25,85.0,2002-06-25,Intel Xeon,62.18
2016-11-16,AI,Quadro P2200,South America,1472860.78,437,Gamers,Business,2.7,184568.97,1.0,Medium,3.67,30.0,0.21,89.0,2022-04-26,AMD Radeon RX 7900,38.0
2022-11-13,OEM,Tesla T4,Africa,91954.86,756,Educational Institutions,Individual,3.0,22867.63,13.0,Medium,3.31,82.0,0.29,75.0,1999-02-19,AMD Radeon RX 7900,49.46
2007-08-05,AI,RTX 3080,Europe,1275577.63,2462,Educational Institutions,Individual,2.4,101695.14,22.0,Low,3.15,56.0,0.14,72.0,2020-11-13,AMD Radeon RX 7900,52.45
2009-12-11,Data Center,RTX 3080,Africa,659653.31,3108,AI Researchers,Individual,1.8,172191.6,25.0,Low,1.85,14.0,0.25,65.0,2009-05-04,Intel Xeon,36.56
2001-03-31,Gaming,Tesla T4,Europe,988028.56,2798,AI Researchers,Individual,2.1,143110.48,2.0,Medium,3.71,36.0,0.29,73.0,2002-07-26,AMD Radeon RX 7900,56.86
2011-08-31,AI,Tesla T4,Middle East,1992009.1,882,Gamers,Individual,2.2,143360.81,11.0,Medium,2.19,19.0,0.25,79.0,1996-07-07,AMD Radeon RX 6800,31.96
2011-12-09,Gaming,Quadro P2200,Middle East,444424.64,4238,Educational Institutions,Individual,3.8,131818.53,13.0,Medium,3.87,88.0,0.19,65.0,1996-01-21,AMD Radeon RX 6800,68.92
2018-06-04,Data Center,RTX 4090,APAC,577022.06,2192,AI Researchers,Business,1.2,66944.64,1.0,Low,3.89,89.0,0.11,79.0,2012-02-21,Google TPU,45.15
2021-10-08,AI,Tesla T4,Africa,1365626.68,4088,AI Researchers,Business,2.8,173332.9,1.0,Low,3.65,25.0,0.14,64.0,2000-12-10,Google TPU,34.26
2010-08-19,AI,Quadro P2200,South America,459361.58,4221,Gamers,Business,5.0,154227.42,0.0,Medium,1.51,70.0,0.26,87.0,1995-03-02,Google TPU,36.21
2024-02-09,Gaming,Quadro P2200,Europe,899631.67,3370,AI Researchers,Individual,1.4,159153.79,2.0,Medium,0.54,44.0,0.21,77.0,1997-07-20,Google TPU,54.16
1998-08-07,Data Center,Quadro P2200,Europe,1063728.29,2493,Gamers,Business,3.8,173261.84,17.0,Low,3.81,33.0,0.07,79.0,2023-05-23,AMD Radeon RX 7900,52.06
2010-10-06,AI,Tesla V100,APAC,1930493.59,1826,Gamers,Individual,1.1,196429.73,5.0,Low,1.19,54.0,0.24,56.0,2001-05-06,Google TPU,61.65
2002-07-15,OEM,Tesla V100,North America,1440359.3,3767,Gamers,Business,2.0,75666.44,6.0,Low,2.01,82.0,0.15,81.0,2014-08-12,AMD Radeon RX 6800,39.69
2002-07-15,Gaming,Quadro P2200,Africa,776503.82,2057,Gamers,Individual,3.7,74351.14,17.0,High,3.25,16.0,0.23,60.0,1994-09-14,AMD Radeon RX 7900,36.96
2008-03-22,OEM,Tesla T4,South America,828096.65,1196,Educational Institutions,Business,2.1,126712.04,19.0,Low,2.29,76.0,0.18,83.0,2021-04-20,AMD Radeon RX 6800,35.3
2012-06-14,AI,Quadro P2200,Europe,833136.84,1818,Educational Institutions,Business,2.8,163259.52,9.0,Medium,0.45,82.0,0.15,85.0,1994-07-16,Google TPU,38.1
2019-07-25,AI,Tesla T4,Africa,1497733.48,1210,Cloud Providers,Business,3.1,189913.9,18.0,Low,3.37,48.0,0.14,54.0,2015-03-10,Google TPU,41.21
2012-05-26,Gaming,RTX 3080,Europe,940455.37,1072,Gamers,Individual,3.9,82269.81,18.0,Medium,1.86,58.0,0.21,55.0,1995-03-26,Intel Xeon,56.19
1998-01-26,AI,Tesla V100,North America,1247012.02,1341,Gamers,Individual,3.3,109019.48,4.0,Low,4.65,16.0,0.25,79.0,2017-09-30,Google TPU,33.96
2023-12-08,Gaming,Quadro P2200,North America,1586545.26,3765,Gamers,Individual,2.6,176609.52,0.0,Medium,0.51,17.0,0.24,67.0,2014-08-04,AMD Radeon RX 7900,48.45
1999-04-19,Data Center,Tesla T4,Europe,1185695.34,1809,AI Researchers,Business,1.6,125486.32,17.0,High,4.99,44.0,0.25,87.0,2007-01-26,AMD Radeon RX 6800,36.39
2001-10-15,OEM,RTX 3080,Africa,1233202.18,2318,Gamers,Business,2.4,139349.18,15.0,Low,4.46,70.0,0.27,89.0,1994-01-05,Intel Xeon,51.98
2008-04-30,Gaming,Tesla T4,Middle East,1847934.83,637,Cloud Providers,Individual,4.3,180506.91,22.0,High,4.98,43.0,0.24,52.0,2011-08-22,AMD Radeon RX 7900,65.01
2013-05-22,OEM,RTX 4090,Europe,1343819.39,4443,Gamers,Individual,2.8,179542.12,25.0,High,4.5,39.0,0.29,67.0,2003-07-30,AMD Radeon RX 7900,43.13
1995-08-18,Gaming,Tesla T4,Europe,810803.36,4279,Cloud Providers,Business,3.5,147600.71,15.0,Medium,4.09,20.0,0.1,84.0,2014-07-26,AMD Radeon RX 6800,60.29
2015-05-11,AI,RTX 4090,Europe,1997647.71,1463,AI Researchers,Business,4.5,133075.06,23.0,Low,3.96,29.0,0.12,63.0,2014-03-05,Intel Xeon,33.29
1999-02-12,Data Center,Quadro P2200,Africa,942213.14,1508,AI Researchers,Individual,1.9,29611.91,14.0,Low,3.48,16.0,0.23,84.0,2023-04-14,AMD Radeon RX 7900,34.96
2022-12-27,Gaming,RTX 4090,APAC,1487445.67,2325,Gamers,Individual,2.8,59463.51,17.0,Low,1.12,25.0,0.16,80.0,2021-01-04,AMD Radeon RX 7900,30.79
2000-05-06,Data Center,Tesla T4,South America,1877888.59,1967,Gamers,Individual,4.8,51638.22,15.0,High,1.8,31.0,0.29,77.0,2023-07-02,Google TPU,30.79
2010-05-23,OEM,RTX 4090,South America,1228119.03,2824,Cloud Providers,Individual,1.1,113030.08,10.0,Low,1.81,85.0,0.25,65.0,1996-11-10,Google TPU,41.41
2014-08-14,Data Center,RTX 3080,Africa,1382056.4,4266,Gamers,Individual,3.9,57552.06,3.0,High,4.17,58.0,0.1,74.0,1993-06-05,Intel Xeon,53.93
1993-12-16,AI,Tesla V100,Europe,1481598.55,3984,AI Researchers,Individual,4.3,57783.94,15.0,Low,1.19,37.0,0.1,89.0,2015-06-02,AMD Radeon RX 6800,51.75
2000-11-24,OEM,Tesla V100,Africa,1479936.79,3444,Educational Institutions,Individual,5.0,38606.25,12.0,Medium,3.87,13.0,0.23,69.0,1993-05-16,AMD Radeon RX 6800,35.54
2018-11-03,AI,RTX 4090,North America,792977.4,981,Cloud Providers,Individual,4.6,84712.74,20.0,Low,3.48,66.0,0.28,86.0,2012-09-12,Google TPU,67.3
1997-05-12,AI,Quadro P2200,Europe,700682.33,2692,Cloud Providers,Individual,1.3,190098.09,13.0,High,0.37,84.0,0.2,70.0,2010-12-10,Google TPU,45.96
2018-05-29,AI,Quadro P2200,Europe,932287.94,4943,Gamers,Individual,3.2,90477.72,11.0,Low,2.73,40.0,0.17,72.0,2007-04-13,AMD Radeon RX 6800,32.33
1997-10-01,OEM,RTX 3080,Middle East,1630967.14,2955,AI Researchers,Individual,1.4,193519.58,2.0,Medium,2.82,18.0,0.25,84.0,1997-08-26,AMD Radeon RX 7900,34.29
2017-05-19,AI,Tesla V100,APAC,1520079.79,580,Educational Institutions,Individual,4.4,180118.18,1.0,High,0.66,75.0,0.22,73.0,2011-06-17,AMD Radeon RX 6800,48.77
2017-05-28,Data Center,Quadro P2200,South America,890797.58,2194,AI Researchers,Business,3.9,185586.53,19.0,High,1.72,63.0,0.12,61.0,1995-02-23,AMD Radeon RX 6800,64.96
2006-09-26,AI,Quadro P2200,Middle East,660223.43,712,Educational Institutions,Individual,4.0,98993.96,1.0,Low,3.86,89.0,0.21,62.0,1993-12-12,AMD Radeon RX 7900,68.21
2010-07-23,OEM,Tesla V100,Africa,1929935.41,4183,Cloud Providers,Individual,3.3,46084.64,22.0,Low,2.91,86.0,0.15,60.0,2011-09-24,Intel Xeon,67.33
1997-12-08,Gaming,Tesla T4,APAC,565412.77,4077,Gamers,Business,2.7,71805.42,19.0,Medium,2.35,61.0,0.19,57.0,2007-07-29,AMD Radeon RX 6800,62.87
2001-10-19,OEM,Tesla V100,Middle East,1348986.84,535,AI Researchers,Individual,4.9,135784.69,20.0,High,0.52,22.0,0.18,75.0,2002-03-29,AMD Radeon RX 7900,68.26
2019-04-16,Gaming,Tesla T4,Europe,1440999.29,710,Educational Institutions,Individual,3.2,22104.01,1.0,Low,1.68,34.0,0.18,65.0,1997-07-17,Intel Xeon,45.42
2002-11-15,AI,RTX 4090,Middle East,648005.34,3738,Gamers,Business,1.8,133239.11,24.0,Medium,0.55,44.0,0.28,84.0,2018-03-21,AMD Radeon RX 7900,43.12
1996-12-25,OEM,Quadro P2200,South America,895527.94,4835,Cloud Providers,Individual,1.2,174263.4,4.0,Low,0.6,20.0,0.22,54.0,2018-02-26,AMD Radeon RX 7900,34.82
2023-09-14,AI,Quadro P2200,North America,524490.95,2748,Educational Institutions,Business,1.6,85614.24,9.0,Medium,4.3,61.0,0.1,76.0,1999-09-28,Intel Xeon,46.62
2017-01-21,AI,RTX 3080,APAC,1015716.5,4849,Gamers,Business,3.2,191983.52,12.0,Low,3.68,45.0,0.2,56.0,1997-04-26,AMD Radeon RX 7900,51.87
2011-08-10,AI,Tesla T4,Europe,1595074.04,1507,Gamers,Business,1.6,114680.84,20.0,Low,0.78,62.0,0.11,78.0,2016-01-17,Google TPU,44.85
2004-10-28,AI,Tesla V100,APAC,1804708.91,3222,Gamers,Individual,1.1,141643.15,15.0,High,4.43,16.0,0.19,65.0,2015-12-01,Google TPU,65.35
1994-04-10,OEM,RTX 3080,North America,879166.2,2452,AI Researchers,Business,1.8,66693.29,5.0,High,1.08,36.0,0.26,87.0,2021-01-05,Google TPU,41.24
2003-08-08,Gaming,Tesla T4,Middle East,1844120.51,4153,Gamers,Individual,4.6,99379.7,25.0,High,4.74,80.0,0.2,63.0,2001-06-24,Google TPU,52.52
1998-09-16,Data Center,Quadro P2200,APAC,189444.49,2197,Cloud Providers,Business,4.6,140392.78,23.0,High,3.04,34.0,0.06,81.0,2020-02-08,AMD Radeon RX 6800,33.74
2007-01-26,OEM,Tesla T4,Middle East,1153921.16,1716,AI Researchers,Business,3.3,63383.22,5.0,Medium,0.92,44.0,0.07,67.0,2009-12-17,Intel Xeon,38.9
1996-02-02,Data Center,Tesla V100,Europe,1230958.66,3095,AI Researchers,Business,4.0,25505.6,11.0,High,0.85,11.0,0.11,87.0,1998-08-09,Google TPU,48.34
2016-08-21,Data Center,Quadro P2200,Africa,149925.94,2546,Cloud Providers,Business,2.5,64498.76,4.0,High,1.21,46.0,0.15,74.0,2004-10-29,Intel Xeon,43.11
2010-08-01,Gaming,Tesla T4,Europe,607802.36,1276,Cloud Providers,Business,4.6,122526.72,12.0,High,0.36,87.0,0.09,85.0,1996-01-01,AMD Radeon RX 7900,37.47
2004-05-02,Gaming,RTX 4090,Middle East,1209990.0,4738,AI Researchers,Business,3.7,103500.01,18.0,Medium,3.38,33.0,0.05,68.0,2012-03-20,Intel Xeon,66.55
2015-09-05,Gaming,RTX 3080,Africa,485292.01,3017,Gamers,Individual,2.4,31612.54,18.0,High,3.39,18.0,0.3,72.0,2014-03-04,Google TPU,54.01
2015-09-03,OEM,Quadro P2200,APAC,716236.98,4903,Cloud Providers,Individual,2.2,89816.84,15.0,High,0.51,29.0,0.2,61.0,1996-05-18,Google TPU,59.67
2024-02-06,Gaming,RTX 3080,Africa,1124927.41,2165,Gamers,Individual,4.7,159359.22,12.0,High,1.09,71.0,0.14,83.0,1995-10-14,AMD Radeon RX 6800,60.11
2005-01-27,Data Center,Quadro P2200,Europe,88489.32,1972,Cloud Providers,Business,4.7,127096.81,8.0,High,3.56,72.0,0.25,66.0,2017-10-15,AMD Radeon RX 6800,50.24
2021-07-19,Data Center,Tesla T4,Europe,563430.44,869,Educational Institutions,Business,1.1,19722.32,6.0,High,1.54,58.0,0.28,62.0,2012-12-20,Intel Xeon,48.36
1994-11-22,Gaming,Tesla T4,North America,1589684.88,2058,AI Researchers,Business,2.3,146660.03,7.0,Medium,4.21,12.0,0.26,87.0,2018-08-16,Google TPU,65.48
2017-04-23,Gaming,Quadro P2200,Europe,1292588.48,1231,Educational Institutions,Individual,3.7,144394.88,2.0,High,2.78,64.0,0.07,65.0,2017-11-20,AMD Radeon RX 6800,67.21
2017-10-04,OEM,Tesla T4,North America,1652753.43,522,Gamers,Business,2.5,58947.1,9.0,High,3.4,88.0,0.13,90.0,1997-10-01,Intel Xeon,61.09
2023-01-27,AI,Quadro P2200,South America,1809513.42,1962,AI Researchers,Individual,4.5,21187.79,14.0,Low,2.41,59.0,0.18,83.0,2005-01-24,Google TPU,35.21
1996-05-03,Gaming,Tesla V100,Middle East,662291.2,346,Cloud Providers,Business,1.7,58845.64,16.0,High,4.32,37.0,0.08,74.0,2014-02-08,AMD Radeon RX 6800,69.6
2021-09-22,Gaming,Tesla T4,North America,464275.64,2061,Educational Institutions,Business,2.7,80232.04,5.0,Medium,3.4,58.0,0.22,85.0,2007-05-28,AMD Radeon RX 7900,37.36
1994-09-21,Data Center,Quadro P2200,APAC,191643.57,3046,Cloud Providers,Individual,2.5,58254.24,12.0,Medium,4.8,44.0,0.19,67.0,2024-05-10,Intel Xeon,38.62
2006-01-10,OEM,RTX 4090,South America,1913337.46,3649,Cloud Providers,Individual,1.6,133501.19,15.0,Medium,3.71,72.0,0.09,79.0,2022-11-29,AMD Radeon RX 7900,45.7
2021-03-14,Data Center,Tesla T4,APAC,175707.85,2313,Educational Institutions,Individual,3.5,16793.81,24.0,High,3.31,10.0,0.18,53.0,1994-09-14,Intel Xeon,31.59
2017-01-04,AI,Tesla V100,Africa,902349.82,1727,Cloud Providers,Business,4.1,75771.03,2.0,Low,3.4,85.0,0.18,62.0,2018-07-07,AMD Radeon RX 6800,66.63
2009-09-15,OEM,Tesla T4,Middle East,478779.6,4655,Gamers,Individual,1.1,79331.48,8.0,Low,2.45,27.0,0.26,68.0,2010-04-15,AMD Radeon RX 7900,52.42
2012-03-12,AI,Tesla T4,Middle East,1339886.23,2795,Educational Institutions,Individual,2.2,196992.88,22.0,Medium,0.89,20.0,0.26,76.0,2002-12-23,AMD Radeon RX 6800,69.2
2018-04-16,Data Center,Quadro P2200,Middle East,1600423.25,3704,Educational Institutions,Individual,5.0,119354.05,25.0,Medium,0.6,56.0,0.24,87.0,2017-10-10,AMD Radeon RX 7900,53.94
1999-10-24,AI,RTX 3080,APAC,1002576.29,878,AI Researchers,Business,3.4,103576.85,22.0,Medium,3.77,60.0,0.3,60.0,2007-01-19,AMD Radeon RX 6800,33.56
2013-07-25,AI,Tesla V100,Africa,1870129.68,802,AI Researchers,Business,2.5,139482.53,25.0,High,0.9,68.0,0.28,69.0,1994-12-24,AMD Radeon RX 6800,63.72
1997-01-04,OEM,Quadro P2200,North America,1104549.84,3956,AI Researchers,Individual,2.8,158654.67,22.0,Low,0.49,30.0,0.19,69.0,2001-01-24,AMD Radeon RX 6800,52.07
2023-08-20,Gaming,RTX 4090,North America,1124522.13,2612,Cloud Providers,Individual,4.6,46791.67,25.0,Medium,1.52,76.0,0.26,54.0,2017-04-05,AMD Radeon RX 6800,40.2
2000-07-29,OEM,RTX 3080,North America,1159415.15,4693,AI Researchers,Individual,3.7,155579.66,16.0,Low,4.72,67.0,0.12,84.0,2004-03-30,AMD Radeon RX 7900,36.39
2004-04-27,Data Center,Tesla V100,Middle East,823111.6,2982,Cloud Providers,Business,2.1,89084.31,12.0,High,1.22,10.0,0.29,53.0,1996-08-22,Intel Xeon,31.16
2001-04-25,Data Center,Tesla V100,Middle East,295794.27,208,Cloud Providers,Individual,3.9,170477.87,17.0,High,1.53,43.0,0.06,70.0,2024-08-13,Google TPU,63.67
1995-12-19,AI,RTX 3080,Europe,1720210.38,1512,AI Researchers,Business,2.3,135959.93,23.0,High,1.99,26.0,0.12,73.0,2018-10-25,AMD Radeon RX 7900,51.42
2019-04-10,OEM,RTX 3080,Middle East,1694599.0,2732,Cloud Providers,Business,2.8,51436.27,15.0,Low,4.96,20.0,0.25,63.0,1993-07-19,AMD Radeon RX 7900,31.63
2012-05-24,Gaming,RTX 3080,North America,202507.72,1206,Educational Institutions,Business,4.9,125583.57,10.0,Low,0.57,58.0,0.2,69.0,2019-06-16,Google TPU,62.89
1995-11-09,Data Center,Tesla V100,APAC,1594904.64,4204,Gamers,Individual,4.2,116185.61,2.0,Medium,2.9,21.0,0.23,60.0,2021-03-07,Intel Xeon,43.53
2008-07-25,Gaming,Tesla T4,South America,628133.43,879,Educational Institutions,Business,5.0,42145.27,21.0,Low,4.46,66.0,0.11,85.0,2023-11-05,AMD Radeon RX 7900,32.55
1996-11-27,Gaming,RTX 3080,North America,1579293.08,2805,Educational Institutions,Business,1.4,30438.31,23.0,Low,4.17,39.0,0.25,85.0,2024-08-13,Intel Xeon,67.9
2008-08-18,Data Center,Tesla T4,North America,1208856.52,3082,Gamers,Business,2.3,145501.08,9.0,Medium,1.03,42.0,0.11,63.0,2014-05-30,AMD Radeon RX 6800,47.53
